Lead_ID,Lead_Source,Lead_Creation_Date,Region,Segment,Lead_Status,Campaign_Type,Converted_to_Opportunity,Time_to_Conversion (days)
59,Inbound,2024-01-19,NA,Commercial,Working,,No,
60,Inbound,2024-05-09,NA,Enterprise,Working,,No,
61,Outbound,2024-01-12,APAC,Strategic,New,,No,
62,Inbound,2024-03-21,EMEA,Commercial,New,,No,
63,Marketing Campaign,2024-11-25,NA,Commercial,Working,Webinars,No,
64,Outbound,2024-12-19,NA,Commercial,New,,No,
65,Inbound,2024-09-18,NA,Commercial,Converted,,Yes,25.0
66,Outbound,2024-05-04,EMEA,Enterprise,Working,,No,
67,Inbound,2024-11-02,EMEA,Commercial,New,,No,
68,Marketing Campaign,2024-09-23,APAC,SMB,Converted,Webinars,Yes,20.0
69,Inbound,2024-05-19,NA,SMB,New,,No,
70,Marketing Campaign,2024-11-24,APAC,Commercial,Converted,Webinars,Yes,21.0
71,Marketing Campaign,2024-01-02,NA,Commercial,Converted,Webinars,Yes,36.0
72,Inbound,2024-01-08,NA,SMB,Rejected,,No,
73,Inbound,2024-09-06,APAC,Enterprise,Working,,No,
74,Marketing Campaign,2024-05-18,NA,SMB,Working,Whitepaper Downloads,No,
75,Partner,2024-05-03,EMEA,Enterprise,New,,No,
76,Partner,2024-11-04,NA,SMB,Working,,No,
77,Marketing Campaign,2024-08-15,APAC,Commercial,Working,Sponsored Content,No,
78,Inbound,2024-01-10,EMEA,Commercial,Working,,No,
79,Outbound,2024-07-30,EMEA,SMB,Converted,,Yes,5.0
80,Inbound,2024-04-21,EMEA,Enterprise,New,,No,
81,Marketing Campaign,2024-01-08,APAC,Commercial,Converted,Whitepaper Downloads,Yes,52.0
82,Partner,2024-10-18,EMEA,Commercial,Converted,,Yes,42.0
83,Inbound,2024-12-27,NA,SMB,Working,,No,
84,Inbound,2024-09-09,NA,Enterprise,Working,,No,
85,Inbound,2024-01-14,NA,SMB,New,,No,
86,Inbound,2024-08-27,NA,Commercial,Rejected,,No,
87,Partner,2024-08-29,EMEA,Enterprise,New,,No,
88,Partner,2024-12-07,NA,SMB,Working,,No,
89,Marketing Campaign,2024-05-28,NA,Enterprise,Working,Paid Social Ads,No,
90,Outbound,2024-08-23,APAC,Commercial,Rejected,,No,
91,Inbound,2024-11-01,EMEA,Enterprise,Converted,,Yes,12.0
92,Partner,2024-06-15,APAC,Commercial,Working,,No,
93,Marketing Campaign,2024-01-20,NA,SMB,New,Paid Search (PPC/Google Ads),No,
94,Outbound,2024-08-03,APAC,Commercial,New,,No,
95,Marketing Campaign,2024-12-08,NA,Commercial,New,Webinars,No,
96,Outbound,2024-05-14,NA,Commercial,Converted,,Yes,5.0
97,Outbound,2024-05-08,APAC,Enterprise,Converted,,Yes,6.0
98,Outbound,2024-10-20,APAC,Commercial,Converted,,Yes,51.0
99,Inbound,2024-09-02,NA,Strategic,Working,,No,
100,Inbound,2024-07-07,EMEA,SMB,Working,,No,
101,Inbound,2024-02-13,EMEA,Enterprise,New,,No,
102,Partner,2024-03-26,EMEA,Enterprise,New,,No,
103,Inbound,2024-02-13,EMEA,Strategic,New,,No,
104,Outbound,2024-11-25,EMEA,Commercial,Converted,,Yes,41.0
105,Marketing Campaign,2024-05-24,APAC,Commercial,New,Email Nurture Campaigns,No,
106,Inbound,2024-02-20,EMEA,SMB,Converted,,Yes,28.0
107,Outbound,2024-08-29,NA,Commercial,Working,,No,
108,Marketing Campaign,2024-10-20,EMEA,Commercial,Working,Webinars,No,
109,Inbound,2024-02-20,EMEA,Strategic,New,,No,
110,Inbound,2024-09-22,EMEA,SMB,New,,No,
111,Inbound,2024-04-29,EMEA,Enterprise,New,,No,
112,Inbound,2024-07-18,NA,Enterprise,Converted,,Yes,31.0
113,Marketing Campaign,2024-09-04,APAC,Enterprise,New,Whitepaper Downloads,No,
114,Marketing Campaign,2024-03-10,EMEA,SMB,Converted,Trade Shows/Exhibitions,Yes,24.0
115,Partner,2024-12-06,NA,Enterprise,Converted,,Yes,51.0
116,Marketing Campaign,2024-02-26,NA,Enterprise,New,Paid Social Ads,No,
117,Marketing Campaign,2024-02-08,APAC,Strategic,Converted,Webinars,Yes,25.0
118,Inbound,2024-10-15,NA,Enterprise,Working,,No,
119,Marketing Campaign,2024-01-18,NA,Enterprise,Converted,Whitepaper Downloads,Yes,46.0
120,Outbound,2024-08-07,NA,Enterprise,New,,No,
121,Marketing Campaign,2024-11-08,APAC,Enterprise,New,Paid Search (PPC/Google Ads),No,
122,Marketing Campaign,2024-08-31,EMEA,Commercial,New,Whitepaper Downloads,No,
123,Inbound,2024-12-17,NA,Strategic,New,,No,
124,Inbound,2024-10-30,APAC,SMB,Converted,,Yes,41.0
125,Inbound,2024-10-24,NA,Commercial,Converted,,Yes,39.0
126,Outbound,2024-10-09,NA,Commercial,Rejected,,No,
127,Marketing Campaign,2024-03-14,NA,Commercial,New,Whitepaper Downloads,No,
128,Marketing Campaign,2024-04-19,EMEA,Enterprise,New,In-Person Events,No,
129,Inbound,2024-06-28,NA,Enterprise,Working,,No,
130,Outbound,2024-02-01,NA,Strategic,New,,No,
131,Outbound,2024-08-21,NA,Enterprise,New,,No,
132,Inbound,2024-10-08,NA,Enterprise,Working,,No,
133,Inbound,2024-01-25,APAC,Commercial,New,,No,
134,Inbound,2024-11-26,EMEA,Commercial,Working,,No,
135,Marketing Campaign,2024-10-05,NA,Enterprise,New,Webinars,No,
136,Inbound,2024-08-13,NA,Enterprise,Working,,No,
137,Outbound,2024-02-26,NA,Commercial,Converted,,Yes,42.0
138,Partner,2024-06-28,EMEA,SMB,New,,No,
139,Outbound,2024-08-19,NA,Enterprise,Rejected,,No,
140,Marketing Campaign,2024-12-08,APAC,Commercial,Working,Email Nurture Campaigns,No,
141,Marketing Campaign,2024-10-13,NA,Commercial,Rejected,Sponsored Content,No,
142,Inbound,2024-03-04,APAC,SMB,New,,No,
143,Outbound,2024-08-19,APAC,Commercial,Working,,No,
144,Inbound,2024-10-15,EMEA,Enterprise,Working,,No,
145,Inbound,2024-07-31,EMEA,Commercial,Converted,,Yes,57.0
146,Inbound,2024-09-14,APAC,SMB,Working,,No,
147,Partner,2024-01-18,APAC,Enterprise,Working,,No,
148,Outbound,2024-06-23,EMEA,Commercial,Rejected,,No,
149,Inbound,2024-08-16,EMEA,Enterprise,New,,No,
150,Inbound,2024-08-13,EMEA,Enterprise,New,,No,
151,Marketing Campaign,2024-03-24,APAC,Commercial,Working,Trade Shows/Exhibitions,No,
152,Inbound,2024-10-17,EMEA,Enterprise,Working,,No,
153,Inbound,2024-09-02,NA,SMB,Working,,No,
154,Outbound,2024-04-19,APAC,SMB,Working,,No,
155,Marketing Campaign,2024-09-10,EMEA,Commercial,Rejected,Webinars,No,
156,Inbound,2024-03-28,NA,Commercial,Converted,,Yes,19.0
157,Partner,2024-03-12,EMEA,Commercial,New,,No,
158,Marketing Campaign,2024-01-30,APAC,Enterprise,New,In-Person Events,No,
159,Inbound,2024-06-20,EMEA,SMB,Rejected,,No,
160,Partner,2024-11-04,NA,Strategic,Converted,,Yes,54.0
161,Outbound,2024-12-08,NA,Enterprise,Rejected,,No,
162,Partner,2024-06-25,EMEA,Enterprise,New,,No,
163,Partner,2024-05-18,EMEA,Enterprise,Converted,,Yes,50.0
164,Outbound,2024-07-12,NA,SMB,Converted,,Yes,46.0
165,Inbound,2024-07-04,EMEA,SMB,New,,No,
166,Marketing Campaign,2024-08-05,APAC,SMB,Working,Webinars,No,
167,Inbound,2024-06-12,APAC,SMB,Working,,No,
168,Inbound,2024-06-09,NA,Commercial,Working,,No,
169,Inbound,2024-01-13,NA,SMB,Converted,,Yes,34.0
170,Outbound,2024-10-22,NA,SMB,Converted,,Yes,8.0
171,Partner,2024-03-29,APAC,Commercial,Converted,,Yes,47.0
172,Inbound,2024-11-19,NA,Commercial,Converted,,Yes,56.0
173,Outbound,2024-02-11,EMEA,SMB,Working,,No,
174,Inbound,2024-07-28,EMEA,Commercial,New,,No,
175,Partner,2024-08-16,NA,SMB,Converted,,Yes,43.0
176,Inbound,2024-12-15,NA,SMB,Working,,No,
177,Partner,2024-10-01,NA,SMB,New,,No,
178,Outbound,2024-10-05,EMEA,SMB,Working,,No,
179,Marketing Campaign,2024-09-07,NA,Commercial,New,Webinars,No,
180,Inbound,2024-11-05,EMEA,SMB,Working,,No,
181,Inbound,2024-07-26,EMEA,Commercial,New,,No,
182,Inbound,2024-11-16,NA,Enterprise,New,,No,
183,Marketing Campaign,2024-05-19,EMEA,Enterprise,Rejected,Webinars,No,
184,Marketing Campaign,2024-10-06,NA,Commercial,Converted,In-Person Events,Yes,19.0
185,Inbound,2024-02-03,EMEA,Commercial,Converted,,Yes,27.0
186,Partner,2024-11-04,NA,Strategic,Working,,No,
187,Marketing Campaign,2024-01-18,NA,Commercial,Converted,Trade Shows/Exhibitions,Yes,45.0
188,Outbound,2024-02-26,EMEA,Commercial,Converted,,Yes,19.0
189,Outbound,2024-04-21,EMEA,Enterprise,Working,,No,
190,Inbound,2024-01-05,APAC,Enterprise,Rejected,,No,
191,Inbound,2024-06-30,NA,SMB,New,,No,
192,Marketing Campaign,2024-01-13,NA,Enterprise,Rejected,Trade Shows/Exhibitions,No,
193,Marketing Campaign,2024-12-04,EMEA,SMB,Working,Webinars,No,
194,Partner,2024-10-11,NA,SMB,Working,,No,
195,Inbound,2024-09-15,NA,Commercial,New,,No,
196,Inbound,2024-03-30,NA,SMB,Working,,No,
197,Partner,2024-04-13,NA,Commercial,Working,,No,
198,Marketing Campaign,2024-07-04,EMEA,Enterprise,Rejected,Trade Shows/Exhibitions,No,
199,Marketing Campaign,2024-09-06,EMEA,SMB,Rejected,Paid Search (PPC/Google Ads),No,
200,Marketing Campaign,2024-09-11,APAC,SMB,Rejected,Webinars,No,
201,Partner,2024-03-16,APAC,Enterprise,New,,No,
202,Inbound,2024-04-17,EMEA,Enterprise,Rejected,,No,
203,Inbound,2024-06-04,NA,Enterprise,Working,,No,
204,Marketing Campaign,2024-03-22,EMEA,Enterprise,Converted,Paid Search (PPC/Google Ads),Yes,30.0
205,Partner,2024-03-17,EMEA,Strategic,New,,No,
206,Inbound,2024-09-14,EMEA,Commercial,Working,,No,
207,Inbound,2024-05-06,EMEA,Commercial,Rejected,,No,
208,Partner,2024-10-08,NA,SMB,Rejected,,No,
209,Inbound,2024-03-28,NA,Commercial,Working,,No,
210,Inbound,2024-07-22,EMEA,Commercial,Converted,,Yes,16.0
211,Outbound,2024-01-16,EMEA,Strategic,New,,No,
212,Partner,2024-05-30,APAC,SMB,Converted,,Yes,22.0
213,Partner,2024-09-10,EMEA,SMB,Working,,No,
214,Inbound,2024-07-06,NA,Commercial,New,,No,
215,Partner,2024-11-24,EMEA,SMB,New,,No,
216,Inbound,2024-02-01,NA,Enterprise,New,,No,
217,Inbound,2024-09-27,EMEA,Commercial,Converted,,Yes,10.0
218,Partner,2024-01-05,EMEA,Strategic,New,,No,
219,Partner,2024-11-25,EMEA,Enterprise,Working,,No,
220,Marketing Campaign,2024-11-03,EMEA,SMB,New,Paid Search (PPC/Google Ads),No,
221,Partner,2024-11-28,NA,Commercial,Working,,No,
222,Outbound,2024-06-17,NA,Enterprise,Converted,,Yes,22.0
223,Inbound,2024-06-29,EMEA,SMB,Working,,No,
224,Outbound,2024-06-26,EMEA,Enterprise,Working,,No,
225,Inbound,2024-05-22,NA,SMB,Working,,No,
226,Inbound,2024-12-27,NA,Enterprise,New,,No,
227,Marketing Campaign,2024-09-04,APAC,Strategic,Converted,In-Person Events,Yes,54.0
228,Outbound,2024-05-06,NA,Enterprise,New,,No,
229,Marketing Campaign,2024-09-19,NA,Enterprise,New,In-Person Events,No,
230,Partner,2024-02-09,NA,Enterprise,Converted,,Yes,58.0
231,Marketing Campaign,2024-12-20,APAC,Strategic,New,Webinars,No,
232,Outbound,2024-09-11,APAC,SMB,Converted,,Yes,28.0
233,Outbound,2024-05-22,EMEA,SMB,New,,No,
234,Outbound,2024-08-27,EMEA,Commercial,Converted,,Yes,42.0
235,Inbound,2024-08-15,EMEA,Commercial,New,,No,
236,Partner,2024-12-06,NA,Enterprise,New,,No,
237,Inbound,2024-07-16,NA,Commercial,New,,No,
238,Inbound,2024-03-05,NA,Enterprise,Converted,,Yes,32.0
239,Partner,2024-01-11,EMEA,Strategic,Rejected,,No,
240,Inbound,2024-04-17,NA,SMB,Working,,No,
241,Marketing Campaign,2024-01-26,APAC,Commercial,Converted,Trade Shows/Exhibitions,Yes,19.0
242,Marketing Campaign,2024-05-30,EMEA,Enterprise,Working,Webinars,No,
243,Marketing Campaign,2024-08-08,NA,SMB,Rejected,Webinars,No,
244,Outbound,2024-12-06,NA,Enterprise,Converted,,Yes,23.0
245,Inbound,2024-08-24,APAC,Enterprise,New,,No,
246,Marketing Campaign,2024-08-24,APAC,Enterprise,Converted,Sponsored Content,Yes,9.0
247,Outbound,2024-08-06,NA,Commercial,Working,,No,
248,Marketing Campaign,2024-05-30,NA,SMB,New,In-Person Events,No,
249,Marketing Campaign,2024-05-02,APAC,Commercial,New,Email Nurture Campaigns,No,
250,Marketing Campaign,2024-05-23,NA,Enterprise,Rejected,Webinars,No,
251,Inbound,2024-07-07,EMEA,Commercial,Rejected,,No,
252,Outbound,2024-09-11,NA,SMB,Converted,,Yes,8.0
253,Marketing Campaign,2024-03-08,EMEA,Enterprise,Rejected,Paid Search (PPC/Google Ads),No,
254,Inbound,2024-04-13,EMEA,Enterprise,Converted,,Yes,21.0
255,Inbound,2024-12-01,APAC,Strategic,New,,No,
256,Outbound,2024-06-07,NA,Strategic,New,,No,
257,Marketing Campaign,2024-11-04,NA,Strategic,New,In-Person Events,No,
258,Partner,2024-12-27,EMEA,SMB,New,,No,
259,Outbound,2024-10-26,EMEA,Enterprise,New,,No,
260,Inbound,2024-03-30,EMEA,Enterprise,Working,,No,
261,Partner,2024-12-22,EMEA,Commercial,Converted,,Yes,57.0
262,Marketing Campaign,2024-09-12,NA,Commercial,Converted,Webinars,Yes,14.0
263,Inbound,2024-12-18,EMEA,Strategic,Working,,No,
264,Outbound,2024-08-07,NA,SMB,Rejected,,No,
265,Marketing Campaign,2024-01-09,EMEA,SMB,Working,Webinars,No,
266,Partner,2024-01-12,APAC,Enterprise,Converted,,Yes,16.0
267,Partner,2024-11-20,EMEA,Strategic,Working,,No,
268,Partner,2024-08-31,EMEA,SMB,New,,No,
269,Outbound,2024-06-30,EMEA,Enterprise,Rejected,,No,
270,Inbound,2024-10-10,NA,SMB,New,,No,
271,Marketing Campaign,2024-11-07,NA,Enterprise,Working,Email Nurture Campaigns,No,
272,Marketing Campaign,2024-04-08,NA,Enterprise,New,In-Person Events,No,
273,Marketing Campaign,2024-07-15,NA,SMB,Working,Sponsored Content,No,
274,Marketing Campaign,2024-08-13,EMEA,SMB,Rejected,Paid Search (PPC/Google Ads),No,
275,Outbound,2024-11-28,NA,Enterprise,New,,No,
276,Outbound,2024-04-12,NA,Commercial,Converted,,Yes,9.0
277,Marketing Campaign,2024-04-15,EMEA,Strategic,New,Sponsored Content,No,
278,Partner,2024-12-30,EMEA,SMB,New,,No,
279,Partner,2024-02-27,EMEA,SMB,New,,No,
280,Marketing Campaign,2024-03-18,EMEA,Enterprise,Converted,Webinars,Yes,11.0
281,Marketing Campaign,2024-03-15,NA,Enterprise,New,Email Nurture Campaigns,No,
282,Inbound,2024-02-11,EMEA,Enterprise,Working,,No,
283,Outbound,2024-11-19,EMEA,Enterprise,New,,No,
284,Inbound,2024-06-29,EMEA,Enterprise,New,,No,
285,Outbound,2024-02-02,APAC,Enterprise,Converted,,Yes,48.0
286,Inbound,2024-03-11,APAC,Commercial,New,,No,
287,Outbound,2024-02-25,EMEA,Commercial,New,,No,
288,Outbound,2024-04-14,EMEA,SMB,New,,No,
289,Inbound,2024-07-18,EMEA,Enterprise,Working,,No,
290,Outbound,2024-04-10,NA,Commercial,Working,,No,
291,Inbound,2024-09-12,EMEA,Enterprise,New,,No,
292,Inbound,2024-11-02,NA,Commercial,New,,No,
293,Marketing Campaign,2024-03-14,NA,Enterprise,Working,Paid Search (PPC/Google Ads),No,
294,Outbound,2024-06-19,APAC,Strategic,New,,No,
295,Inbound,2024-05-22,EMEA,SMB,Converted,,Yes,27.0
296,Outbound,2024-06-14,APAC,Commercial,Converted,,Yes,6.0
297,Marketing Campaign,2024-09-17,NA,Enterprise,Working,Webinars,No,
298,Inbound,2024-08-08,EMEA,Commercial,New,,No,
299,Partner,2024-03-23,EMEA,SMB,Converted,,Yes,34.0
300,Inbound,2024-06-30,EMEA,Enterprise,Converted,,Yes,56.0
301,Inbound,2024-11-02,EMEA,Commercial,Working,,No,
302,Outbound,2024-01-10,EMEA,SMB,Converted,,Yes,53.0
303,Outbound,2024-01-04,NA,SMB,Converted,,Yes,49.0
304,Partner,2024-12-16,NA,SMB,Working,,No,
305,Partner,2024-12-01,APAC,SMB,New,,No,
306,Marketing Campaign,2024-10-18,EMEA,Strategic,Converted,Trade Shows/Exhibitions,Yes,41.0
307,Outbound,2024-10-07,APAC,Commercial,New,,No,
308,Inbound,2024-08-02,EMEA,Commercial,Converted,,Yes,9.0
309,Marketing Campaign,2024-04-07,NA,SMB,Converted,Email Nurture Campaigns,Yes,24.0
310,Inbound,2024-04-10,EMEA,SMB,Converted,,Yes,30.0
311,Outbound,2024-01-09,EMEA,Strategic,Working,,No,
312,Inbound,2024-03-01,APAC,Enterprise,New,,No,
313,Inbound,2024-11-04,EMEA,Commercial,New,,No,
314,Marketing Campaign,2024-05-25,NA,Enterprise,Converted,Email Nurture Campaigns,Yes,48.0
315,Marketing Campaign,2024-03-03,NA,Enterprise,Converted,Webinars,Yes,48.0
316,Partner,2024-04-30,NA,Enterprise,Working,,No,
317,Outbound,2024-08-13,NA,SMB,New,,No,
318,Inbound,2024-04-14,NA,Enterprise,Rejected,,No,
319,Inbound,2024-09-16,EMEA,SMB,Rejected,,No,
320,Inbound,2024-12-14,NA,SMB,Working,,No,
321,Outbound,2024-09-11,APAC,Enterprise,Working,,No,
322,Partner,2024-07-25,EMEA,Enterprise,Converted,,Yes,43.0
323,Partner,2024-01-28,EMEA,SMB,Converted,,Yes,10.0
324,Inbound,2024-06-18,NA,SMB,Rejected,,No,
325,Marketing Campaign,2024-12-01,NA,SMB,New,Paid Social Ads,No,
326,Partner,2024-03-16,NA,SMB,Working,,No,
327,Outbound,2024-04-25,EMEA,Strategic,Working,,No,
328,Partner,2024-03-09,NA,Commercial,Converted,,Yes,33.0
329,Outbound,2024-12-19,EMEA,Strategic,Converted,,Yes,14.0
330,Inbound,2024-08-21,NA,SMB,Rejected,,No,
331,Outbound,2024-01-01,NA,SMB,Working,,No,
332,Marketing Campaign,2024-06-15,EMEA,Enterprise,Converted,Webinars,Yes,55.0
333,Inbound,2024-12-17,NA,Strategic,Working,,No,
334,Inbound,2024-08-05,APAC,Commercial,Working,,No,
335,Inbound,2024-09-29,NA,SMB,New,,No,
336,Inbound,2024-09-07,APAC,Enterprise,Converted,,Yes,20.0
337,Marketing Campaign,2024-12-12,NA,Commercial,Rejected,Webinars,No,
338,Partner,2024-12-09,NA,Enterprise,New,,No,
339,Outbound,2024-06-22,EMEA,Enterprise,New,,No,
340,Inbound,2024-06-18,EMEA,Enterprise,Converted,,Yes,38.0
341,Outbound,2024-09-02,EMEA,SMB,Working,,No,
342,Outbound,2024-03-30,NA,Enterprise,Rejected,,No,
343,Inbound,2024-02-18,APAC,Commercial,New,,No,
344,Outbound,2024-10-20,EMEA,Enterprise,New,,No,
345,Outbound,2024-05-29,NA,Commercial,Working,,No,
346,Partner,2024-05-11,NA,Enterprise,New,,No,
347,Partner,2024-02-28,NA,Enterprise,New,,No,
348,Inbound,2024-11-19,EMEA,Commercial,New,,No,
349,Outbound,2024-07-17,NA,SMB,New,,No,
350,Partner,2024-08-02,EMEA,Enterprise,New,,No,
351,Outbound,2024-02-18,EMEA,Enterprise,Rejected,,No,
352,Marketing Campaign,2024-08-19,APAC,Enterprise,New,In-Person Events,No,
353,Partner,2024-09-03,EMEA,Strategic,Working,,No,
354,Inbound,2024-08-26,EMEA,Commercial,Converted,,Yes,35.0
355,Inbound,2024-06-16,APAC,Commercial,Working,,No,
356,Partner,2024-02-17,EMEA,Enterprise,Working,,No,
357,Inbound,2024-02-20,NA,Commercial,Converted,,Yes,40.0
358,Outbound,2024-10-25,EMEA,Enterprise,Converted,,Yes,45.0
359,Marketing Campaign,2024-04-07,EMEA,Enterprise,Converted,Webinars,Yes,9.0
360,Outbound,2024-08-03,EMEA,Commercial,Working,,No,
361,Outbound,2024-06-25,EMEA,Commercial,Converted,,Yes,37.0
362,Partner,2024-03-20,NA,Enterprise,Working,,No,
363,Outbound,2024-07-03,NA,SMB,New,,No,
364,Outbound,2024-01-27,NA,Strategic,Converted,,Yes,47.0
365,Marketing Campaign,2024-07-13,APAC,Commercial,Working,Sponsored Content,No,
366,Outbound,2024-08-01,EMEA,SMB,Rejected,,No,
367,Marketing Campaign,2024-12-07,NA,Strategic,New,Trade Shows/Exhibitions,No,
368,Marketing Campaign,2024-04-23,NA,SMB,New,Webinars,No,
369,Inbound,2024-08-29,APAC,Commercial,Rejected,,No,
370,Inbound,2024-05-03,EMEA,SMB,New,,No,
371,Inbound,2024-10-31,NA,Enterprise,Rejected,,No,
372,Inbound,2024-03-16,APAC,Commercial,Rejected,,No,
373,Inbound,2024-11-06,EMEA,Enterprise,Converted,,Yes,23.0
374,Partner,2024-11-07,APAC,Enterprise,Working,,No,
375,Inbound,2024-07-14,EMEA,Commercial,Working,,No,
376,Inbound,2024-12-16,NA,Enterprise,Converted,,Yes,36.0
377,Marketing Campaign,2024-02-13,APAC,SMB,Converted,Webinars,Yes,27.0
378,Inbound,2024-07-04,NA,Commercial,Working,,No,
379,Marketing Campaign,2024-12-08,NA,Commercial,Rejected,Webinars,No,
380,Inbound,2024-09-02,EMEA,Enterprise,Working,,No,
381,Inbound,2024-03-24,APAC,Enterprise,Rejected,,No,
382,Partner,2024-07-25,NA,Commercial,New,,No,
383,Partner,2024-05-30,EMEA,Strategic,New,,No,
384,Marketing Campaign,2024-06-04,NA,Enterprise,Working,Email Nurture Campaigns,No,
385,Partner,2024-01-16,NA,Enterprise,New,,No,
386,Marketing Campaign,2024-06-13,EMEA,SMB,Converted,Paid Search (PPC/Google Ads),Yes,7.0
387,Inbound,2024-05-24,EMEA,Enterprise,New,,No,
388,Inbound,2024-02-06,EMEA,SMB,Rejected,,No,
389,Marketing Campaign,2024-11-28,NA,Commercial,New,Webinars,No,
390,Marketing Campaign,2024-02-14,NA,Commercial,Working,Paid Search (PPC/Google Ads),No,
391,Marketing Campaign,2024-07-24,NA,Commercial,New,Webinars,No,
392,Outbound,2024-03-02,APAC,Enterprise,Working,,No,
393,Outbound,2024-12-21,APAC,Commercial,New,,No,
394,Marketing Campaign,2024-11-03,NA,SMB,New,Sponsored Content,No,
395,Inbound,2024-01-19,EMEA,SMB,Converted,,Yes,5.0
396,Marketing Campaign,2024-12-30,NA,SMB,New,Email Nurture Campaigns,No,
397,Marketing Campaign,2024-10-26,NA,SMB,New,Webinars,No,
398,Outbound,2024-01-07,NA,Enterprise,Converted,,Yes,40.0
399,Marketing Campaign,2024-09-05,NA,SMB,New,Sponsored Content,No,
400,Marketing Campaign,2024-04-26,EMEA,Commercial,Working,Webinars,No,
401,Inbound,2024-03-08,APAC,SMB,New,,No,
402,Marketing Campaign,2024-02-03,EMEA,Commercial,New,Webinars,No,
403,Outbound,2024-07-12,NA,SMB,Working,,No,
404,Marketing Campaign,2024-11-20,EMEA,SMB,New,Trade Shows/Exhibitions,No,
