Opportunity_ID,Created_Date,Region,Segment,Opportunity_Type,Deal_Stage,Salesperson,Closed_Lost_Reason,Sales_Cycle_Days,Closed_Date,Deal_Size (£),Closed_Month
69,2024-12-26 04:08:46.910271284,North America,SMB,New Customer,Closed Won,NA7,,26,2025-02-04 04:08:46.910271284,12898.046286789708,2025-02
70,2024-09-04 13:32:36.916212560,APAC,Commercial,New Customer,Qualified,APAC5,,41,2024-12-31 00:00:00.000000000,48141.87849568448,2024-12
71,2024-12-27 15:48:09.548930824,EMEA,Strategic,Renewal,Qualified,EMEA4,,90,2024-12-31 00:00:00.000000000,319704.2155860976,2024-12
72,2024-06-29 21:55:00.534868992,North America,Enterprise,New Customer,Proposal,NA4,,71,2024-09-15 21:55:00.534868992,156503.9995932127,2024-09
73,2024-09-24 21:57:20.979718324,North America,Commercial,Renewal,Qualified,NA3,,49,2024-12-31 00:00:00.000000000,62629.12157596022,2024-12
74,2024-11-06 18:12:17.677417212,EMEA,Strategic,New Customer,Discovery,EMEA10,,75,2024-12-31 00:00:00.000000000,309315.0293554216,2024-12
75,2024-12-29 16:35:04.351673384,EMEA,Strategic,New Customer,Closed Lost,EMEA8,Lost to Internal Solution,79,2024-12-31 00:00:00.000000000,333922.0018124759,2024-12
76,2024-02-19 09:54:00.732285430,EMEA,Strategic,Renewal,Closed Won,EMEA7,,89,2024-03-30 09:54:00.732285430,373714.536476218,2024-03
77,2024-07-13 15:27:43.226002184,EMEA,Commercial,Renewal,Negotiation,EMEA9,,43,2024-11-09 15:27:43.226002184,44607.83711249365,2024-11
78,2024-02-25 04:11:32.976846519,North America,Enterprise,Renewal,Closed Lost,NA1,Lost to Internal Solution,59,2024-03-24 04:11:32.976846519,193096.3803404617,2024-03
79,2024-03-29 20:57:50.813546250,North America,Strategic,New Customer,Proposal,NA7,,97,2024-06-24 20:57:50.813546250,263679.25593432784,2024-06
80,2024-06-23 06:42:13.643145124,North America,Strategic,Renewal,Closed Won,NA10,,92,2024-08-15 06:42:13.643145124,319180.71406710945,2024-08
81,2024-01-23 17:24:42.364578227,APAC,SMB,New Customer,Closed Won,APAC4,,25,2024-04-14 17:24:42.364578227,13072.261939876436,2024-04
82,2024-07-14 12:03:03.022194086,EMEA,SMB,Renewal,Closed Lost,EMEA7,,26,2024-10-11 12:03:03.022194086,10629.968290403996,2024-10
83,2024-03-16 16:17:00.950860176,North America,Enterprise,New Customer,Closed Lost,NA1,Lost to Internal Solution,70,2024-04-26 16:17:00.950860176,130315.17942484126,2024-04
84,2024-10-16 22:33:25.988110680,North America,Strategic,New Customer,Closed Lost,NA5,Competitor,60,2024-12-31 00:00:00.000000000,324049.00553075323,2024-12
85,2024-06-15 22:30:31.520792614,North America,Enterprise,Renewal,Closed Lost,NA3,,56,2024-09-04 22:30:31.520792614,213302.8849121572,2024-09
86,2024-11-27 16:19:12.266073748,North America,Enterprise,Renewal,Discovery,NA5,,51,2024-12-31 00:00:00.000000000,171338.76608291565,2024-12
87,2024-04-28 18:08:10.486967694,EMEA,SMB,Renewal,Closed Lost,EMEA4,Poor Customer Support,25,2024-08-12 18:08:10.486967694,13896.43430983402,2024-08
88,2024-11-22 12:06:52.146507664,EMEA,Enterprise,New Customer,Qualified,EMEA2,,55,2024-12-31 00:00:00.000000000,203172.01604403407,2024-12
89,2024-03-03 19:03:52.546027103,APAC,Strategic,New Customer,Closed Won,APAC3,,90,2024-05-07 19:03:52.546027103,386786.86363764846,2024-05
90,2024-11-11 19:55:45.247453380,EMEA,Commercial,Renewal,Closed Lost,EMEA4,No Decision,49,2024-12-19 19:55:45.247453380,45969.49818257567,2024-12
91,2024-01-04 04:26:34.771993135,North America,Strategic,New Customer,Qualified,NA3,,83,2024-06-23 04:26:34.771993135,301272.2340111834,2024-06
92,2024-02-24 20:21:58.062538646,EMEA,Strategic,Renewal,Proposal,EMEA1,,93,2024-05-16 20:21:58.062538646,317694.13655955385,2024-05
93,2024-05-21 10:02:28.917497936,EMEA,Commercial,Renewal,Closed Lost,EMEA10,,52,2024-06-23 10:02:28.917497936,68205.82184472421,2024-06
94,2024-05-24 23:45:40.716219698,EMEA,Enterprise,Expansion,Closed Lost,EMEA8,Competitor,68,2024-08-30 23:45:40.716219698,116982.46041335796,2024-08
95,2024-07-30 21:27:36.790058972,EMEA,Commercial,Renewal,Closed Lost,EMEA5,Poor Customer Support,37,2024-10-14 21:27:36.790058972,68716.78570667631,2024-10
96,2024-03-26 08:45:25.045101271,EMEA,Strategic,Renewal,Closed Lost,EMEA4,,87,2024-08-20 08:45:25.045101271,328706.6013512023,2024-08
97,2024-02-22 06:22:34.384784665,EMEA,Enterprise,Renewal,Discovery,EMEA10,,63,2024-07-16 06:22:34.384784665,161651.39109995964,2024-07
98,2024-03-02 15:03:55.484475335,EMEA,Enterprise,Renewal,Negotiation,EMEA5,,65,2024-05-12 15:03:55.484475335,185637.7487446321,2024-05
99,2024-09-05 15:07:26.633217840,North America,Strategic,Renewal,Closed Lost,NA4,,87,2024-10-12 15:07:26.633217840,347241.23080910905,2024-10
100,2024-11-25 17:56:14.708939400,North America,Commercial,Renewal,Negotiation,NA3,,41,2024-12-31 00:00:00.000000000,73706.95701184178,2024-12
101,2024-07-26 16:19:51.453973026,North America,Strategic,New Customer,Discovery,NA5,,90,2024-11-03 16:19:51.453973026,325369.0845263289,2024-11
102,2024-10-28 20:27:56.079423500,EMEA,Enterprise,Renewal,Closed Lost,EMEA4,,49,2024-12-31 00:00:00.000000000,183150.82490522467,2024-12
103,2024-02-02 00:01:50.345136245,North America,SMB,Renewal,Closed Won,NA1,,26,2024-04-11 00:01:50.345136245,13220.804547956011,2024-04
104,2024-09-04 06:45:11.393895668,EMEA,Enterprise,Renewal,Closed Lost,EMEA3,,78,2024-12-31 00:00:00.000000000,205779.9320161632,2024-12
105,2024-08-01 09:33:22.940518380,APAC,Strategic,Renewal,Proposal,APAC2,,93,2024-11-02 09:33:22.940518380,334530.4053652457,2024-11
106,2024-11-29 12:59:24.266186776,North America,Commercial,New Customer,Discovery,NA10,,43,2024-12-31 00:00:00.000000000,68602.97710030533,2024-12
107,2024-01-07 14:11:45.809997617,EMEA,Strategic,Expansion,Closed Won,EMEA8,,99,2024-02-29 14:11:45.809997617,347316.5137365922,2024-02
108,2024-02-20 09:49:49.303169707,EMEA,Strategic,Renewal,Closed Won,EMEA7,,97,2024-03-23 09:49:49.303169707,373964.1016739265,2024-03
109,2024-04-28 07:02:31.073156418,North America,Commercial,New Customer,Closed Lost,NA2,Lost to Internal Solution,43,2024-06-27 07:02:31.073156418,52189.13520440912,2024-06
110,2024-04-19 03:36:54.235973796,North America,Strategic,Renewal,Qualified,NA1,,89,2024-06-20 03:36:54.235973796,365642.7173461806,2024-06
111,2024-01-09 07:13:45.862121125,North America,SMB,Renewal,Proposal,NA3,,23,2024-01-25 07:13:45.862121125,18677.749448952443,2024-01
112,2024-01-14 08:39:42.774658302,North America,Commercial,Renewal,Discovery,NA5,,45,2024-06-12 08:39:42.774658302,53039.42979012008,2024-06
113,2024-01-09 01:15:14.776843377,APAC,SMB,Renewal,Closed Lost,APAC2,No Decision,25,2024-03-26 01:15:14.776843377,11958.024640207956,2024-03
114,2024-07-29 20:19:00.195943316,EMEA,Strategic,Renewal,Negotiation,EMEA1,,82,2024-08-22 20:19:00.195943316,314288.7259727707,2024-08
115,2024-11-04 13:46:18.534370092,EMEA,Enterprise,New Customer,Proposal,EMEA3,,49,2024-12-31 00:00:00.000000000,191422.2101797266,2024-12
116,2024-02-17 12:17:05.146449067,APAC,SMB,Renewal,Qualified,APAC3,,22,2024-04-03 12:17:05.146449067,7845.808409785137,2024-04
117,2024-03-25 22:18:16.654284726,EMEA,Commercial,Expansion,Closed Won,EMEA5,,47,2024-05-15 22:18:16.654284726,53340.02502006435,2024-05
118,2024-11-07 00:26:58.282447224,North America,Enterprise,Renewal,Discovery,NA3,,59,2024-12-31 00:00:00.000000000,168158.94557268807,2024-12
119,2024-01-14 01:49:27.519539237,APAC,SMB,Renewal,Proposal,APAC5,,24,2024-05-29 01:49:27.519539237,11597.264108660334,2024-05
120,2024-09-26 06:40:01.953573196,EMEA,Strategic,New Customer,Negotiation,EMEA9,,94,2024-12-31 00:00:00.000000000,315720.9382369867,2024-12
121,2024-04-30 08:33:53.112845122,EMEA,Strategic,Renewal,Qualified,EMEA1,,80,2024-08-31 08:33:53.112845122,312768.5105432062,2024-08
122,2024-03-15 21:58:29.224822352,APAC,Enterprise,Renewal,Closed Lost,APAC4,Poor Customer Support,49,2024-07-19 21:58:29.224822352,194434.64166215004,2024-07
123,2024-11-27 13:30:45.122536928,North America,Strategic,New Customer,Closed Lost,NA10,No Budget,92,2024-12-31 00:00:00.000000000,338456.10547250736,2024-12
124,2024-11-03 09:49:39.113561220,North America,Commercial,Expansion,Proposal,NA10,,36,2024-11-14 09:49:39.113561220,82712.0126006505,2024-11
125,2024-01-06 23:49:25.531069701,North America,Strategic,New Customer,Negotiation,NA4,,87,2024-04-11 23:49:25.531069701,344498.3339641481,2024-04
126,2024-04-30 05:19:07.092699590,EMEA,Enterprise,New Customer,Qualified,EMEA1,,84,2024-06-22 05:19:07.092699590,147560.27222237064,2024-06
127,2024-05-16 11:23:16.802159910,EMEA,Enterprise,New Customer,Discovery,EMEA2,,46,2024-07-08 11:23:16.802159910,170749.07326176963,2024-07
128,2024-01-14 01:21:02.548673559,APAC,SMB,Expansion,Qualified,APAC3,,24,2024-05-19 01:21:02.548673559,11809.420429072112,2024-05
129,2024-03-06 06:39:50.091778030,North America,Strategic,Renewal,Negotiation,NA1,,68,2024-05-28 06:39:50.091778030,331380.9559607442,2024-05
130,2024-01-09 15:56:26.530180329,EMEA,Commercial,Renewal,Closed Won,EMEA6,,43,2024-03-31 15:56:26.530180329,74576.66186103171,2024-03
131,2024-09-02 08:32:53.296009052,EMEA,SMB,Renewal,Closed Won,EMEA3,,28,2024-10-03 08:32:53.296009052,12964.58764582193,2024-10
132,2024-12-14 22:17:28.110144448,North America,SMB,Renewal,Closed Lost,NA7,No Decision,25,2024-12-31 00:00:00.000000000,12971.22955741592,2024-12
133,2024-04-06 18:29:10.477891954,North America,Enterprise,New Customer,Proposal,NA5,,53,2024-07-21 18:29:10.477891954,175251.04708124197,2024-07
134,2024-04-07 11:48:57.096609615,North America,Enterprise,New Customer,Negotiation,NA9,,81,2024-08-13 11:48:57.096609615,195264.5997519819,2024-08
135,2024-03-24 03:51:12.939139805,APAC,Enterprise,Renewal,Closed Lost,APAC4,Poor Customer Support,42,2024-09-08 03:51:12.939139805,160777.37077610282,2024-09
136,2024-02-13 07:10:22.462377457,North America,Strategic,Renewal,Closed Lost,NA5,,94,2024-03-16 07:10:22.462377457,288574.75552285725,2024-03
137,2024-08-05 06:56:19.569378620,EMEA,SMB,New Customer,Qualified,EMEA5,,25,2024-12-31 00:00:00.000000000,14111.447440528076,2024-12
138,2024-05-08 07:55:07.501076328,EMEA,Enterprise,Renewal,Closed Won,EMEA5,,57,2024-06-30 07:55:07.501076328,184379.1787043868,2024-06
139,2024-04-11 00:02:38.693124222,North America,SMB,New Customer,Closed Lost,NA10,No Budget,26,2024-09-29 00:02:38.693124222,15808.54568786995,2024-09
140,2024-11-11 01:12:37.290588864,APAC,Strategic,Renewal,Closed Lost,APAC1,,78,2024-12-12 01:12:37.290588864,264302.1945696786,2024-12
141,2024-05-28 12:32:49.624906670,APAC,Strategic,Renewal,Discovery,APAC2,,93,2024-07-14 12:32:49.624906670,322491.2650036303,2024-07
142,2024-05-10 15:15:48.808427888,North America,Enterprise,Renewal,Closed Won,NA3,,61,2024-07-22 15:15:48.808427888,177667.83882072938,2024-07
143,2024-01-14 20:12:24.661760697,EMEA,Enterprise,Renewal,Closed Lost,EMEA6,,51,2024-04-27 20:12:24.661760697,137228.05103960144,2024-04
144,2024-12-27 09:03:22.324611644,North America,Commercial,New Customer,Qualified,NA8,,54,2024-12-31 00:00:00.000000000,58845.38196106219,2024-12
145,2024-11-22 17:20:22.346891980,North America,Enterprise,Expansion,Closed Lost,NA9,Lost to Internal Solution,58,2024-12-19 17:20:22.346891980,204673.06670588595,2024-12
146,2024-09-26 21:41:36.399966824,North America,Strategic,New Customer,Discovery,NA7,,88,2024-12-31 00:00:00.000000000,377152.8676933024,2024-12
147,2024-11-03 11:47:50.870669540,EMEA,Enterprise,Renewal,Closed Lost,EMEA3,No Decision,49,2024-12-31 00:00:00.000000000,199560.17248396657,2024-12
148,2024-10-02 00:24:24.137805124,EMEA,Commercial,Renewal,Closed Lost,EMEA1,No Budget,44,2024-12-20 00:24:24.137805124,55673.71491786533,2024-12
149,2024-09-14 10:35:33.641951748,North America,Enterprise,New Customer,Discovery,NA4,,83,2024-12-31 00:00:00.000000000,206537.87951178133,2024-12
150,2024-06-25 19:36:42.465879626,North America,Strategic,New Customer,Proposal,NA6,,87,2024-07-18 19:36:42.465879626,347785.0654024841,2024-07
151,2024-07-01 11:12:36.025158440,APAC,Commercial,Renewal,Closed Won,APAC3,,47,2024-08-29 11:12:36.025158440,53541.4590914288,2024-08
152,2024-08-24 15:01:35.011280188,North America,SMB,Renewal,Discovery,NA1,,26,2024-11-07 15:01:35.011280188,11045.50995174915,2024-11
153,2024-07-04 19:55:06.537937334,North America,Enterprise,New Customer,Qualified,NA6,,58,2024-12-27 19:55:06.537937334,170787.44898678627,2024-12
154,2024-05-04 17:08:09.214721084,EMEA,Strategic,Renewal,Closed Lost,EMEA1,Competitor,85,2024-09-17 17:08:09.214721084,298728.774387078,2024-09
155,2024-12-11 19:56:59.965944340,APAC,SMB,Renewal,Negotiation,APAC1,,25,2024-12-31 00:00:00.000000000,11723.020222361522,2024-12
156,2024-08-17 18:35:45.820101892,North America,Commercial,Renewal,Closed Lost,NA1,Poor Customer Support,43,2024-12-31 00:00:00.000000000,66490.03895417602,2024-12
157,2024-10-04 10:22:57.025611256,EMEA,SMB,Renewal,Closed Won,EMEA6,,24,2024-12-10 10:22:57.025611256,15096.268165428151,2024-12
158,2024-01-27 21:14:26.056138496,EMEA,Commercial,New Customer,Closed Lost,EMEA1,Competitor,49,2024-06-10 21:14:26.056138496,54948.63865761347,2024-06
159,2024-05-31 11:34:48.146386712,North America,Enterprise,Expansion,Proposal,NA7,,59,2024-09-25 11:34:48.146386712,209710.5217145101,2024-09
160,2024-08-24 02:43:36.160662040,EMEA,Enterprise,Renewal,Closed Lost,EMEA3,Budget Constraints,72,2024-10-20 02:43:36.160662040,191252.63667088773,2024-10
161,2024-02-08 13:26:52.068380798,North America,Enterprise,Renewal,Proposal,NA6,,59,2024-02-13 13:26:52.068380798,192391.3254731593,2024-02
162,2024-03-27 20:14:37.932643781,EMEA,Enterprise,Renewal,Negotiation,EMEA7,,46,2024-04-17 20:14:37.932643781,152024.70615022298,2024-04
163,2024-11-22 15:34:35.092890812,EMEA,Commercial,Renewal,Discovery,EMEA1,,30,2024-12-31 00:00:00.000000000,84103.46961031423,2024-12
164,2024-11-08 17:47:00.605978600,EMEA,Strategic,Renewal,Closed Lost,EMEA1,Competitor,71,2024-12-31 00:00:00.000000000,338834.1113005397,2024-12
165,2024-07-10 07:29:35.661341350,North America,Enterprise,New Customer,Discovery,NA5,,43,2024-10-18 07:29:35.661341350,166683.31592759155,2024-10
166,2024-11-22 04:27:07.204093980,EMEA,Strategic,Renewal,Closed Won,EMEA6,,92,2024-12-23 04:27:07.204093980,312272.0690564155,2024-12
167,2024-11-09 22:10:59.199219624,North America,Enterprise,Renewal,Discovery,NA9,,50,2024-12-31 00:00:00.000000000,167238.69643250442,2024-12
168,2024-10-23 20:56:47.513577204,North America,SMB,Renewal,Qualified,NA1,,21,2024-12-31 00:00:00.000000000,9954.156137805663,2024-12
169,2024-04-21 08:29:12.500320870,North America,Enterprise,Renewal,Negotiation,NA4,,58,2024-09-21 08:29:12.500320870,199707.5136087373,2024-09
170,2024-08-15 11:36:21.278884556,EMEA,Commercial,Renewal,Proposal,EMEA10,,39,2024-10-19 11:36:21.278884556,47787.70546306124,2024-10
171,2024-12-20 03:48:22.634261224,EMEA,Enterprise,Renewal,Negotiation,EMEA8,,64,2024-12-31 00:00:00.000000000,182245.62097187145,2024-12
172,2024-04-17 17:57:58.219713328,North America,SMB,Expansion,Closed Lost,NA10,No Budget,25,2024-09-29 17:57:58.219713328,11375.206884496538,2024-09
173,2024-07-23 18:13:44.724825362,EMEA,SMB,Renewal,Closed Lost,EMEA9,,25,2024-08-01 18:13:44.724825362,14176.991172295866,2024-08
174,2024-01-14 20:31:54.017101420,North America,Strategic,Renewal,Closed Lost,NA3,No Budget,64,2024-02-14 20:31:54.017101420,345167.62040654785,2024-02
175,2024-09-13 23:16:31.872686196,EMEA,Commercial,New Customer,Proposal,EMEA2,,45,2024-11-16 23:16:31.872686196,51414.59916774504,2024-11
176,2024-12-27 21:37:14.823389440,North America,Strategic,Expansion,Closed Lost,NA4,Lost to Internal Solution,88,2024-12-31 00:00:00.000000000,324153.15835605044,2024-12
